participant_id,collection_id,domBlockers,audio,timezone,localStorage,plugins,screenResolution_width,screenResolution_height,hardwareConcurrency,platform
participant_001,participant_001_collection_01,__MISSING__,124.04348155876505,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,MacIntel
participant_001,participant_001_collection_02,__MISSING__,124.04348155876505,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",900.0,1440.0,8,MacIntel
participant_001,participant_001_collection_03,__MISSING__,124.04348155876505,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,MacIntel
participant_001,participant_001_collection_04,__MISSING__,124.04348155876505,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,MacIntel
participant_001,participant_001_collection_05,__MISSING__,124.04348155876505,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,MacIntel
participant_001,participant_001_collection_06,__MISSING__,124.04348155876505,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,MacIntel
participant_002,participant_002_collection_01,[],124.04346622781304,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",844.0,390.0,4,iPhone
participant_002,participant_002_collection_02,[],124.04346622781304,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",844.0,390.0,4,iPhone
participant_002,participant_002_collection_03,[],124.04346622781304,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",844.0,390.0,4,iPhone
participant_002,participant_002_collection_04,[],124.04346622781304,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",844.0,390.0,4,iPhone
participant_002,participant_002_collection_05,[],124.04346622781304,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",844.0,390.0,4,iPhone
participant_002,participant_002_collection_06,[],124.04346622781304,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",844.0,390.0,4,iPhone
participant_003,participant_003_collection_01,__MISSING__,35.749972093850374,America/Recife,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,Linux x86_64
participant_003,participant_003_collection_02,__MISSING__,35.749972093850374,America/Recife,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,Linux x86_64
participant_003,participant_003_collection_03,__MISSING__,35.749972093850374,America/Recife,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,Linux x86_64
participant_003,participant_003_collection_04,__MISSING__,35.749972093850374,America/Recife,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,Linux x86_64
participant_003,participant_003_collection_05,__MISSING__,35.749972093850374,America/Recife,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,Linux x86_64
participant_003,participant_003_collection_06,__MISSING__,35.749972093850374,America/Recife,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",1920.0,1080.0,8,Linux x86_64
participant_004,participant_004_collection_01,__MISSING__,35.749972093850374,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",864.0,1536.0,12,Linux x86_64
participant_004,participant_004_collection_02,__MISSING__,35.749972093850374,America/Fortaleza,1,"[{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chrome PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Chromium PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""Microsoft Edge PDF Viewer""},{""description"":""Portable Document Format"",""mimeTypes"":[{""suffixes"":""pdf"",""type"":""application/pdf""},{""suffixes"":""pdf"",""type"":""text/pdf""}],""name"":""WebKit built-in PDF""}]",864.0,1536.0,12,Linux x86_64
